Commodity,Detailed_Comm_code,Detailed_Comm_Name,Abstract_Comm_code,Abstract_Comm_Name
IRON POLE,1,Steel & Metal,1,Steel & Metal
IRON POLES,1,Steel & Metal,1,Steel & Metal
IRON POLL,1,Steel & Metal,1,Steel & Metal
IRON RAD,1,Steel & Metal,1,Steel & Metal
IRON RAILWAY,1,Steel & Metal,1,Steel & Metal
IRON RING,1,Steel & Metal,1,Steel & Metal
IRON RINGS,1,Steel & Metal,1,Steel & Metal
IRON RNGAL,1,Steel & Metal,1,Steel & Metal
IRON ROAD,1,Steel & Metal,1,Steel & Metal
IRON ROD,1,Steel & Metal,1,Steel & Metal
IRON ROD  ,1,Steel & Metal,1,Steel & Metal
IRON RODE,1,Steel & Metal,1,Steel & Metal
IRON RODS,1,Steel & Metal,1,Steel & Metal
IRON ROL,1,Steel & Metal,1,Steel & Metal
IRON ROLE,1,Steel & Metal,1,Steel & Metal
IRON ROLL,1,Steel & Metal,1,Steel & Metal
IRON ROOD,1,Steel & Metal,1,Steel & Metal
IRON SATTER,1,Steel & Metal,1,Steel & Metal
IRON SCRAP,1,Steel & Metal,1,Steel & Metal
IRON SCREP,1,Steel & Metal,1,Steel & Metal
IRON SCRUP,1,Steel & Metal,1,Steel & Metal
IRON SEAT,1,Steel & Metal,1,Steel & Metal
IRON SEET,1,Steel & Metal,1,Steel & Metal
IRON SHEET,1,Steel & Metal,1,Steel & Metal
IRON SHEETS,1,Steel & Metal,1,Steel & Metal
IRON SHET,1,Steel & Metal,1,Steel & Metal
IRON SHETE,1,Steel & Metal,1,Steel & Metal
IRON SHHETS,1,Steel & Metal,1,Steel & Metal
IRON SOIL,1,Steel & Metal,1,Steel & Metal
IRON SPARE PARTS,1,Steel & Metal,1,Steel & Metal
IRON STAND,1,Steel & Metal,1,Steel & Metal
IRON STEEL,1,Steel & Metal,1,Steel & Metal
IRON TEEN,1,Steel & Metal,1,Steel & Metal
IRON WINDOW,1,Steel & Metal,1,Steel & Metal
IRON WIRE,1,Steel & Metal,1,Steel & Metal
IRONCOIL,1,Steel & Metal,1,Steel & Metal
IRONPIPE,1,Steel & Metal,1,Steel & Metal
IRONPLATE,1,Steel & Metal,1,Steel & Metal
IRONPLATES,1,Steel & Metal,1,Steel & Metal
IRONROD,1,Steel & Metal,1,Steel & Metal
IRONRODS,1,Steel & Metal,1,Steel & Metal
IRONSHEET,1,Steel & Metal,1,Steel & Metal
IRONWIRE,1,Steel & Metal,1,Steel & Metal
IROON SHEET,1,Steel & Metal,1,Steel & Metal
ISPAT,1,Steel & Metal,1,Steel & Metal
IYRAN,1,Steel & Metal,1,Steel & Metal
