name
21 AS-A
21 AS-B
21 DWN
21 FF
21 GB
21 KJD
21 KND
21 KNN
21 LLW
21 MD
21 ML
21 MOD
21 PBN
21 PS
21 RB
21 SDS
21 SJM
21 Z
21Bb
21H
21MJd
22 A-A
22 AG
22 AS-A
22 AS-B
22 KLD
22 KYD
22 LGW
22 MD
22 ML
22 Ndr
22 NP
22 NTR
22 P
22 PS
22 PTD
22 RB
22 RWD
22 SSW
221.1 Baste Ghat (4km)
22Z
23 A-A
23 BB
23 DWD
23 GB
23 JMD
23 Junction
23 KD
23 LLW
23 ML
23 MOD-2
23 O
23 PBN
23 PS-C
23 RB
23 SJM
23 STG
23H
23Mjd
24 APD-A
24 BB
24 Bd
24 F
24 FF
24 KSP
24 LGW
24 ML
24 NP
24 PBN
24 PS
24 RB
24 SD
24 SMD
24 STG
24 Z
24Hb
24X7 PETROL PUMP
25 A-B
25 APD-B
25 DWD
25 FF-B
25 KYD
25 LGW-A
25 MD
25 ML
25 NP
25 NTR
25 PS-BRURAL
25 PTD
25 RB
25BbI
26 A
26 APD
26 AS
26 BB-I
26 BLD
26 F
26 FF
26 JRK
26 Llw
26 NP
26 SSW
262.5 Ghat Section (5.2km)
26H
26STG
27 A
27 DWD
27 FF
27 JMD
27 LGW
27 LNP
27 MJD (Chhapawali)
27 PS
27 RB
27 RJD
27BB
27H
28 AS-B
28 BD
28 FF
28 GG
28 H
28 KYD
28 Llw
28 ML-A
28 ML-B
28 NP
28 PBN-A
28Bb
28th Mile
29 -A. Chinta -Makulapalle
29 BB
29 DWD
29 F
29 KYD
29 Llw
29 LNP
29 MJD (Lalpura)
29 ML
29 Mmk
29 NP
29 PS-B
29H
29STG
2C
2d
2DD
2EEA
2f
2Ffa
2g
2h II
2Jja
2K
2nd Agraharam
2nd Mile
2Rahan Pathār No.2
2VI
2Y
3 4 RSM
3 ADM
3 B
3 BB
3 BBA
3 BGD
3 BGM
3 BLM
3 C
3 CC
3 CHTM
3 DAM
3 DBL
3 DD
3 DD-A
3 DSM
3 DWM
3 FB
3 FD
3 FDM
3 FFB
3 GB-B
3 GD
3 GM
3 HDP
3 Incline Colony
3 ISW-B
3 JKM
3 JM
3 JSD
3 KD-A
3 KDM
3 KJD
3 KK
3 KSD
3 KSP
3 LC-A
3 LGM
3 LKD(B)
3 LL
3 LM
3 LNP
3 MC
3 MK
3 MLD-A
3 MLK-D
3 MOD
3 MSD
3 MWM
3 ND
3 NM
3 NN-I
3 NN-II
3 Palu Yokma
3 PP
3 PPM
3 PS
3 PTD
3 Pwm
3 RB-A
3 Rjd
3 RJD
3 RTM
3 SHPD
3 SJM
3 SPM
3 TK
3 TKW
3 UDM-B
3 UMW-A
3 Uts
3 X
3 ZW
3 ZWM(A)
30 APD
30 LNP
30 ML
30 PS
30 PTP (Pratappura)
30 SSW
30Bb
31 BB
31 Kyd
31 ML
31 MOD
31 NDR
31 PS
31 PTP (Dhola)
31 RB II
31 RB III
31H
32 A
32 BB
32 H
32 KSD
32 Llw
32 ML
32 MOD
32 PS
32 PS-A
32 PS-B
32 RDR
32 SSW
322.3 Nivli Ghat (2.4km)
32Ha
33 BB
33 GG
33 H
33 Kjd
33 ML
33 Mmk
33 NP
33 RB
33Gb
34 BB
34 Kyd
34 LLW
34 LNP
34 PS
34 RWD
34 ST Colony
34th Mile
34th Mile Junction
35 BB
35 GG
35 LLW
